"Country Name","Country Code","Classification Name","Classification Code","Sector Name","Sector Code","Unit Name","Unit Code",Attribute,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,"Indicator Code","Global DSD Time Series Code",
"Austria","122","Interest expense","W0|S1|G24","Local governments","S1313","Percent of GDP","XDC_R_B1GQ","Bases of recording (Cash/ Non Cash)","AC","AC","AC","AC","AC","AC","AC","AC","AC","AC","AC","AC","AC","AC","AC","AC","AC","AC","AC","AC",
"Austria","122","Interest expense","W0|S1|G24","Local governments","S1313","Percent of GDP","XDC_R_B1GQ","Bases of recording (Gross/Net)","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP",
"Austria","122","Interest expense","W0|S1|G24","Local governments","S1313","Percent of GDP","XDC_R_B1GQ","Nature of data","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A",
"Denmark","128","Interest expense","W0|S1|G24","Social security funds","S1314","Percent of GDP","XDC_R_B1GQ","Value","0.000145822973826234","0.000354541535249938","0.000348007413949947","0","0","0","5.75094056632962E-05","0.000222040888829678","5.80671872196444E-05","5.52203679222674E-05","5.41461317462019E-05","0","0","0","0.000147321981028857","9.48852576300794E-05","9.12009338975631E-05","8.87581185941602E-05","8.62797136548863E-05","4.29265428121436E-05","GEI_G14_GDP_PT","A|DK|S1314|W0|S1|G24|_Z|_Z|_Z|XDC_R_B1GQ|_T|_X",
"Denmark","128","Interest expense","W0|S1|G24","Social security funds","S1314","Percent of GDP","XDC_R_B1GQ","Valuation","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP",
"Denmark","128","Interest expense","W0|S1|G24","Social security funds","S1314","Percent of GDP","XDC_R_B1GQ","Bases of recording (Cash/ Non Cash)","AC","AC","AC","AC","AC","AC","AC","AC","AC","AC","AC","AC","AC","AC","AC","AC","AC","AC","AC","AC",
"Denmark","128","Interest expense","W0|S1|G24","Social security funds","S1314","Percent of GDP","XDC_R_B1GQ","Bases of recording (Gross/Net)","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP",
"Denmark","128","Interest expense","W0|S1|G24","Social security funds","S1314","Percent of GDP","XDC_R_B1GQ","Nature of data","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P",
"Seychelles","718","Interest expense","W0|S1|G24","Social security funds","S1314","Percent of GDP","XDC_R_B1GQ","Status","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","","",
"Seychelles","718","Interest expense","W0|S1|G24","Social security funds","S1314","Percent of GDP","XDC_R_B1GQ","Valuation","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP",
"Seychelles","718","Interest expense","W0|S1|G24","Social security funds","S1314","Percent of GDP","XDC_R_B1GQ","Bases of recording (Cash/ Non Cash)","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","","",
"Seychelles","718","Interest expense","W0|S1|G24","Social security funds","S1314","Percent of GDP","XDC_R_B1GQ","Bases of recording (Gross/Net)","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP",
"Seychelles","718","Interest expense","W0|S1|G24","Social security funds","S1314","Percent of GDP","XDC_R_B1GQ","Nature of data","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","","",
